id,text,emotion,intensity,gender,age
59,When one learns through the mass media all the wars and killing á going on in the world.,disgust,2,female,24
60,"I lied, to be precise I cancelled a meeting with a good friend.",shame,4,female,24
61,When one lets friends down,guilt,3,female,24
62,When I was accepted for a course on finance and accounting.,joy,3,male,24
63,"A bus drove over my right leg.  The event itself was not very á frightening but when I had to wait in the emergency ward for á three hours and then my leg began to swell, I was frightened.",fear,3,male,24
64,"At my Summer job, nobody looked after me in particular and I had á to learn all on my own.",anger,3,male,24
65,When I was not accepted as a student in finance and accounting.,sadness,3,male,24
66,When I had just moved into my new appartment I found a ventilator á in the kitchen.  I was going to clean it when I found that the á drum was full of mud and slime.  I felt disgusted.,disgust,3,male,24
67,My elder brother and I have not always had a good relationship á and I feel ashamed of myself as I do not call him to talk to him á nowadays.,shame,2,male,24
68,At my Summer job a new caretaker had been employed who was my age á  but I preferred going out for lunch with the accounts personnel á rather than with him.,guilt,1,male,24
69,Passed an exam by 2 points.,joy,2,male,25
70,"In a cottage in a large forest, I was alone for a while in the á dark.",fear,2,male,25
71,When I spoke to Jan-Erik Wikstr÷m on the telephone. ,anger,2,male,25
72,Railway station good-bye.,sadness,2,male,25
73,I saw a cripple in rags with small children in Italy.  He was á probably an imposter.,disgust,3,male,25
74,I told a friend that I was going to a party and he would not á enjoy himself if he came along.  He understood  that he would not á have fitted in and there was something in that.,shame,3,male,25
75,I was the reason behind the break-up of my friend's relationship á with his girlfriend.  She finished with him.,guilt,4,male,25
76,I passed an exam that I was absolutely certain that I had failed.,joy,3,male,23
77,"On the way back from Denmark with a friend on a small yatch, á there was a storm and my friend was blown overboard;  I was very á scared till I managed to get him back onboard.",fear,4,male,23
78,I locked myself out.,anger,3,male,23
79,I missed the last tram home and had to walk in the pouring rain.,sadness,3,male,23
80,I found some worms in the food and I had obviously eaten some.,disgust,4,male,23
81,"My friend was so intoxicated that the police came and took him á away, and they later contacted his parents.",shame,3,male,23
82,I hapened to overhear something which I was not meant to hear.,guilt,2,male,23
83,When I won a trip to Greece in a competition.,joy,4,female,22
84,When I am out in the dark and a suspicious looking character á comes towards me.,fear,3,female,22
85,"At work, when an elderly man complained unjustifiably about me and á distrusted me.",anger,3,female,22
86,When I had not understood anything after a lecture.,sadness,3,female,22
87,When an alcoholic stood dribbling over a food counter.,disgust,2,female,22
88,When my friend and I were discussing the good looks of a guy we á realized that he had been listening.,shame,1,female,22
89,When I complained about a colleague to the manager and he told á her that someone had complained; this colleague came to me á believing that I liked her.,guilt,2,female,22
90,At a friend's birthday party with some of my closest friends.  It á was all very pleasant and one could say that I was happy to have á such good friends.,joy,3,male,23
91,On the way home one Friday night in the heavy rain the car á acquaplanned.  I lost contact with the road surface for a few á seconds.,fear,2,male,23
92,A case of unrequited love.,sadness,3,male,23
93,A bad smelling cucumber.,disgust,3,male,23
94,Nearly caught masturbating.,shame,3,male,23
95,I do not help out enough at home.,guilt,1,male,23
96,I felt very happy when I won the football pools.,joy,3,male,26
97,When I flew from Athens to Copenhagen after a holiday.  The plane á was caught in a storm and it began to shake and I thouhght that á we were going to crash.,fear,3,male,26
98,"When I saw the list of books to read for an acccouting course, I á thought \ Oh God how will I ever manaage it!\""""",sadness,0,male,26
99,It was when I read a newspaper article on the future and they á foresaw that we would be eating frog-burgers by the year 2000.  á An illustration showed a frog between two pieces of bread.,disgust,2,male,26
100,When I dropped a bottle in the state liquor store and everyboby á started laughing.,shame,4,male,26
101,"When I was young - 14, I pinched from a store and was caught.  á The store then contacted my parents.",guilt,3,male,26
102,When the whole family gets together for a one week holiday.  á Everybody feels free and the trip is well planned.  It works out á well and we enjoy ourselves.,joy,3,female,33
103,"When I could not find my 2 year old daughter.  I ran and looked á for her everywhere and could not find her.  (I finally found her, á she had gone to bed to sleep)",fear,4,female,33
104,When friends try to put me down or hurt me.  ,anger,4,female,33
105,Marriage crises.  Boredom.,sadness,4,female,33
106,When someone makes advances that one does not want.,disgust,4,female,33
107,The discovery that one has only thought of oneself.,shame,3,female,33
108,When I spanked a child in anger and later regretted it terribly.,guilt,4,female,33
109,When I passed the first examination that I had to repeat.,joy,3,female,23
110,When I drove to Stockholm for the first time and drove off the á Stora Hissingen road at the wrong exit.,fear,3,female,23
111,When my boyfriend went away for a month long holiday without me.,anger,3,female,23
112,Last year when I worked during the Summer holidays and studied á at the same time for an examination I had to repeat; my boyfriend á went to Greece for a holiday for a month.,sadness,4,female,23
113,When a dog is left whining outside a shop.,disgust,2,female,23
114,When I promised to help a friend over a weekend and did not keep á the promise.,shame,2,female,23
115,When I realized that I had three more examinations to take.,guilt,3,female,23
116,The day I was told that I had been accepted as a student of á economics.,joy,4,male,30
117,"While taking a short cut through the Vasa park, I was surrounded á by three people who tried to steal my money.  I was scared and á was saved only by the appearance of other people.",fear,3,male,30
118,"At a restaurant I observed how the gypsies tried to get money by á cheating the foreigners i.e non Swedish speaking.  My anger had á nothing to do with hatred against foreigners, but it was an á expression of the anger I feel when I see people being used .",anger,4,male,30
119,At the begining of a new course one is afraid of encountering á problems one can not manage.  Thoughts revolve around failing á the subject and the consequences it would have for the future.,sadness,2,male,30
120,While walking in town I noticed how the police harrassed a man á who was under the influence of alcohol.  They terrified him with á the thought of arrest by driving close behind him on a pedestrian á street.  My disgust was directed at the gestures and the facial á expressions of the policemen; they seemed to be enjoying á themselves.,disgust,4,male,30
121,"When my boyfriend revealed that he knew that I had discovered á things of an important nature about him, I felt ashamed as I had á not mentioned it earlier.",shame,3,male,30
122,"When I am dishonest to a friend to whom I am very close.  I á feel guilty because I know that he gives a different version of á the truth and I have not corrected these mistakes, and he is á aware that I know that they are wrong.",guilt,4,male,30
123,When I found out that I had passed the last two exams by a á margin of three marks.,joy,3,male,24
124,When my father was ill and was waiting for the results of his tests.,fear,3,male,24
125,When I got caught in the pouring rain last Thursday and did not á have a raincoat on me.,anger,3,male,24
126,When I failed an exam.,sadness,2,male,24
127,"At a Sm÷rgasbord table, a man mixed differnet kinds of picked á herrings with fruit salad.",disgust,1,male,24
128,"When I had not prepared my contribution to the group as á thoroughly as the other members, with the result that the á overall result was poor.",shame,2,male,24
129,"When my father and I worked on the house just after he had á recovered from illness, I was rather lazy.  This meant that he á had to work hard and was not very well later.",guilt,3,male,24
130,When I gave birth to my son and saw that he was alive and that I á had managed it well.  He was born a month too early with a á malfunctioning lung.  This happened a year ago.,joy,4,female,30
131,When I found out that my father had lung cancer and they did not á know how long he would live.,fear,4,female,30
132,"When a colleague asked me for help at work, despite the fact á that he had more time to do it than I had.",anger,3,female,30
133,When I did not get the salary increase that I had been expecting á and understood how little one's work was appreciated.,sadness,3,female,30
134,When I was weeding the garden I found a lizard in my hand.,disgust,3,female,30
135,"When I met a friend whom I had not seen for a long time and á heard all about her troubles, I thought that I should have got á in touch with her earlier.",shame,2,female,30
136,I got angry at my mother for something trivial.  We were in a á bad mood because my father was very ill and I knew that my mother á really needed support.  I had reacted wrongly.,guilt,2,female,30
137,"New year's eve 1983/1984, I met my girlfriend.  We stood on the á steps outside her parents home and I kissed her for the á first time.",joy,4,male,24
138,"When I was stopped by plain clothes policemen because the car I á was driving had overturned on the Avenue.  I had been driving too á fast, and I was afraid when I was stopped, questionned and then á toild to go.  The situation ended happily since there were no á consequences.",fear,4,male,24
139,The editor changed the heading of an article that I had written.  á He considered the heading to be derogatory towards the person I had written á about.,anger,2,male,24
140,"A close acquaintance of the family died of lung cancer.  á Although it was expected, I still felt depressed.",sadness,4,male,24
141,"When I saw a picture, in the Gothenburg Post, of a totally á demolished car with two fatally injured passengers.  The car was á so badly damaged that they couldn't get the bodies out at the á scene of the accident.",disgust,3,male,24
142,One night I had a sexual intercourse with another man.  My sexual á desire and my curiosity had made me jump into bed with him.  I am á ashamed of myself now.,shame,4,male,24
143,"Due to laziness, I failed the term studies completely at á University.  I also wanted, to some extent, to protest against my á parents' expectations.",guilt,2,male,24
144,When I got the loan for my studies.,joy,1,male,25
145,I met intoxicated people with dubious intentions in a back alley á one Wednesday night.,fear,4,male,25
146,On the T.V I saw a news feature on South Africa.  A policeman      á attacked a group of black people with a whip.,anger,3,male,25
147,The thought of having to read a boring book of 400 pages in á English.,sadness,2,male,25
148,Grovelling people.,disgust,2,male,25
149,My inability to assert myself positively in a group.,shame,2,male,25
150,I experience feelings of guilt because I do not study enough.,guilt,2,male,25
151,"Observing someone in the cafeteria noisily gulping in his food, á having extremely bad manners.",disgust,3,female,21
152,I guess I have often been ashamed after having talked badly of á other people.,shame,2,female,21
153,Having been angry and unpleasant towards my parents.,guilt,3,female,21
154,When my sister - after a history of one abortion and one á stillbirth - gave birth to a perfectly healty boy.,joy,2,female,19
155,"When my sister had the still born child, she was emotionally very á deep down, and it took her a long time to recover.",fear,3,female,19
156,"We were starting a student project, and the teacher we talked to á was very negative and not very helpful.",anger,2,female,19
157,"When my boyfriend openly let me down, preferring another girl.",sadness,3,female,19
158,Can't think of any.,shame,0,female,19
159,"Before an accident, my aunt offered me the front seat of the car, á next to the driver. I declined, she took that seat and was killed á there when the car crashed.",guilt,2,female,19
160,"Unexpected visit by a close friend, whom I hadn't seen for half a á year.",joy,3,male,30
161,"I wandered by mistake into the safety zone of a shooting range, á and was shot at.",fear,2,male,30
162,Being treated unfairly.,anger,4,male,30
163,Breaking up with a girl.,sadness,3,male,30
164,Nothing.,disgust,0,male,30
165,Little contact with my father before he died.,guilt,3,male,30
166,"When I was accepted as a student at the college, not having á thought it possible.",joy,3,female,23
167,"When I was the first to arrive at the scene after an accident, á and found that a close school friend had been killed.",fear,4,female,23
168,"I was accused of having done something, which I hadn't and got á very angry.",anger,3,female,23
169,When my grandmother died.,sadness,3,female,23
170,"A couple of years ago during the summer holiday, I was fishing at á a lake with my husband.  Suddenly it started raining while the á sun was still shining. I experienced a feeling of joy, happiness á and fulfillment.  the whole nature was full of music.",joy,4,female,33
171,"I was alone at home, in bed reading a womens' magazine in which á there were storiees of paranormal experiences.  My leg was á itching and I stretched my hand to scratch and I felt another á strange hand. (later I realized that it was the corner of the á blanket)",fear,4,female,33
172,"I went to a lecture and once again it had been cancelled, this á was the second time.  One had a negative attitude towards the á lecturer.á ",anger,2,female,33
173,"I heard that a former superior of mine had died, I was later at á home home reading about it in the newspaper and I thought of our á interaction and how it was no longer possible.  The limited scope á of human life is sad.",sadness,3,female,33
174,"In the tram there was a fat, sickly looking woman in front of me á who was asking for directions in a thick voice.  When she got up to á go a disgusting smell of urine came from her.  I felt that I á would choke.",disgust,4,female,33
175,"When we were at home, my husband and I, he made a remark about á something I had done, in a perfectly friendly manner.  My deed á had been unjust and I knew that my husband was right, therefore my á sense of shame.",shame,2,female,33
176,"I made a remark to my sister concerning her attitude to men, the á way she talked and I compared her to an acquaintance of mine.  á Later, the same evening, my sister looked sad.  I felt guilty á about her sadness.",guilt,2,female,33
177,"I had a summer job in Sweden, and my boyfriend came to meet me on á my birthday.",joy,3,female,26
178,"I went to practice in Sweden during summer, and I was afraid that á I would not do well.",fear,4,female,26
179,"In the holiday cottage of our association, two of my pals came to á wake me up early one morning by bringing a radio played at the á highest volume into my room - it was the morning service at its á loudest.",anger,3,female,26
180,My grandmother died suddenly last summer.,sadness,4,female,26
181,"My superior at the summer job swindled customers as much as he á could, and once put me in a difficult situation after which I á could not but detest him.",disgust,4,female,26
182,Once I arrived two hours late to my work place (a bank) and I was á still feeling feeble and tired.,shame,3,female,26
183,Our association had Polish visitors and when they were going back á by boat I did not go to see them off (I am the chairman of the á association).,guilt,1,female,26
184,"I was told quite unexpectedly that one wanted me to become the á vice-chairman of our student organisation.  I was really á surprised and joy was the first emotion I felt, though behind it á there was worry - how shall I succeed ?",joy,3,female,22
185,"Our tutorial group was soon to be divided, and we got a list of á names of freshmen, out of which five were to be in my group.  We á read the names and then each group went its own way to a seminar á room.  I wondered how I would cope with the new situation and if á I would succeed as a group leader.",fear,2,female,22
186,"We were in a disco and the evening was not at all pleasant.  á Despite my not knowing why, I was angry with my companion.  I let á him feel my bad humour as I cannot hide my feelings.",anger,2,female,22
187,"My grandmother died, and my mother called me one sunday morning á in the Autumn.  The way my mother told me about it, I hated her á at that moment.  She sounded as if she had been waiting for the á death of my grandmother.  I had lost a person close to me.  I á felt guilty too as I had been bad to my grandmother of late.  I had not á remained calm when she no longer understood everything so well.",sadness,4,female,22
188,"At the underground station, a drunkard came to speak to me.  He á tried to ask me something but I did not answer so he began to á speak about me with his companion.  I detested this dirty á growling man.",disgust,1,female,22
189,"I was worried by a task related to my studies which had to be á done in groups of two.  I was talking about it to my friends when á I said something negative, in too abrupt a manner, concerning my á work partner.  I did not quite mean what I said and I felt á ashamed at having been mean enough to criticize him as he is also á a friend of mine.",shame,2,female,22
190,I had told my boyfriend that I did not want to go on with our á relationship.  I knew that I was important to him but I wanted to á be free.  I saw that this was difficult for him but I remained á firm and did not change my mind.,guilt,3,female,22
191,"[ I sometimes quarrel with my mother because she blames me, á though I have not in any way been connected to some events.]",anger,3,female,20
192,"After hearing about the death of my grandfather.  First I could á not believe it, but later I wept and felt the situation was á hopeless.  I felt lonely and wanted to be consolated.",sadness,4,female,20
193,"In the evening, while I was watching TV, my little brother came á in and started eating food he had brought from the kitchen while á I was trying to concentrate on the program.",disgust,1,female,20
194,My little brother was arrested by the police at the railway station after á he had drunk some beer.,shame,2,female,20
195,"At my temporary job, I have to restrict  others' actions and make á them obey me, and this very often gives me  a feeling of guilt.  I á wish there could be some other way of acting.",guilt,3,female,20
196,"I met a dear friend of mine after a long time.  I expressed my feelings á in our own usual way, by mutual scolding and abusing (with á complete understanding) and by touching, patting and taking the á hand of the other person, etc...",joy,4,female,19
197,"I felt fear of the purest kind after a car accident.  The á incident and images of horror kept coming back to my mind.  I á wondered what could have happened to my sister, my friend and me, á though nothing very serious actually happened.",fear,4,female,19
198,"Two boys whom I know were telling me, in an indecent manner, how á they had teased a young and shy girl I know.  They had despised á her conviction, scorned and touched her.  I got very angry and á did not try to conceal it and gave it back to them.",anger,2,female,19
199,"My sweetheart left me, or rather we decided to break it off by á mutual consent.  The consequences were - unrestrained weeping, á feelings of loneliness, hopelessness and disconsolation.  I felt á that I should find a friend, to talk to joyfully and to forget.",sadness,4,female,19
200,"Out of sheer curiosity, I went to see a pornographic movie in á Copenhagen.  The room was full of men, who panted and á masturbated.  Very disgusting.",disgust,2,female,19
201,"After having quarelled unnecessarily and without any reason, and á having been stupidly cross in every way.",shame,1,female,19
202,[ Do not know.],shame,2,male,30
203,When I won a tennis match.,joy,1,male,26
204,When my dog ran out on thin ice last spring.,fear,4,male,26
205,When my tennis match was interrupted because a kid cycled right á into the court.,anger,2,male,26
206,Celebrations on the graduation day with the orchestra playing in á the garden ( I am a part of this orchestra).,joy,3,male,21
207,Risk of being involved in a fight after a party.,fear,1,male,21
208,After an exam which I failed.,sadness,1,male,21
209,[ Normally I do not feel disgusted.],disgust,0,male,21
210,"When I overtook a car on the mainroad, misjudging the distance of á an oncoming car and this resulted in tooting and flashing from á the other driver (we could have collided), and I had an á acquaintance in the car with me.",shame,2,male,21
211,"I saw a neighbour, from the same appartment block as me, lying    á on the road.  He could have been injured or ill.  I kept 20 á metres away and did not go to help him.",guilt,1,male,21
212,When I met an old schhol friend (school love) who works in á Sk+vde.,joy,4,male,32
213,"When I was cycling to school, I nearly got knocked down by a car á which (overtook me too closely) did not give me any swerving space.",fear,3,male,32
214,"When I was deputy manager during the Summer, certain deputies á took liberties, more than what was normal.",anger,3,male,32
215,"When I realized that my girlfriend, whom I like, and I were going á to separate.",sadness,3,male,32
216,Dog dirt which thaws in the spring.,disgust,3,male,32
217,When I forgot my mother's birthday.,shame,2,male,32
218,[ Can not think of anything just now.],guilt,0,male,32
219,Passed the last exam.,joy,2,male,30
220,Was nearly knocked down by a car.,fear,2,male,30
221,I reached the bus stop and realized that I had forgotten my bus á pass.,anger,2,male,30
222,My current work load is too much.  The feeling comes back from á time to time.,sadness,2,male,30
223,[ Can not think of any situation.],disgust,0,male,30
224,When my one year old son gives me a spontaneous kiss.,joy,2,female,28
225,When someone close to me is travelling by car and is delayed.,fear,3,female,28
226,When someone does something wrong which affects me negatively.,anger,2,female,28
227,When I think about my parents getting old.,sadness,2,female,28
228,[ Can not remember.],disgust,0,female,28
229,"I do not have the time for other people's problems.  My á mother-in-law is sometimes depressed and I do not have the time, á the desire or the strength to help.",guilt,3,female,28
230,I was driving and a deer suddenly appeared in front of the á car when there was a lot of traffic behind me.,fear,4,female,34
231,I saw a report on T.V news on apartheid in South Africa. ,anger,4,female,34
232,When my girlfriend became pregnant.,joy,3,male,27
233,When I nearly collided with another car.,fear,4,male,27
234,The time when someone let the air out of the tyres of my cycle.,anger,2,male,27
235,When I read a lot and did not remember anything.,sadness,2,male,27
236,The time that I had to put my dog to sleep.,guilt,3,male,27
237,Long illness.,sadness,3,male,25
238,When I passed an exam.,joy,3,female,26
239,"When I was travelling by tram, I tripped and fell against the á door.  I thought that I was going to fall out.",fear,3,female,26
240,When I missed the tram after having run for it.,anger,2,female,26
241,The inability to read a book at college.,sadness,3,female,26
242,If a guy one is not interested in makes advances.,disgust,2,female,26
243,I drink wine too often.,shame,1,female,26
244,I do not study enough as I do not understand it properly.,guilt,2,female,26
245,I worked at a lawyer's office during Summer and I got a very á good reference from him.,joy,3,female,21
246,I had been watching a triller a dark night in the country and I á had to go the outside toilet on my own. ,fear,1,female,21
247,"When I am accused of something I have not done, I get unbelievably á angry.",anger,2,female,21
248,"When I began to read a thick book, which I had a limited time to á read.  Also when I have a lot of work to do and I cannot keep up.",sadness,2,female,21
249,Someone vomited on the street.,disgust,1,female,21
250,"I can not think of any incident when I have felt very ashamed.  á There are small incidents that I am ashamed of, for instance, á not sending money to the children in Ethiopia.",shame,1,female,21
251,I had lunch with my ex-boyfriend and did not mention it to my á fiancee.  I felt guilty despite the fact that I felt nothing for á my ex-boyfriend.,guilt,1,female,21
252,When I was finally qualified for my profession.,joy,4,male,35
253,Someone attacked me with a knife.,fear,4,male,35
254,Someone drove into my car and then denied that it had happened.,anger,4,male,35
255,When I was told that my friend's wife had cancer.,sadness,2,male,35
256,When I saw a dog which had been knocked down by a car.,disgust,3,male,35
257,When I boxed my child's ears.,shame,3,male,35
258,When I was fined for speeding.,guilt,2,male,35
259,I stopped working (had a boring job).,joy,3,male,21
260,"I was going home by car late one night when it was cold, dark and á windy.  I became rather panicky on the way to my house.",fear,3,male,21
261,Quarrel in the family.,anger,3,male,21
262,When I am alone in a room with no contact with anyone - á loneliness drains me.,sadness,2,male,21
263,When I was on holiday someone vomited in front of me.,disgust,2,male,21
264,Emptied a bucket of water in a hospital.,shame,2,male,21
265,When I feigned sick leave from work.,guilt,2,male,21
266,I was driving very fast on a small road and I met an oncoming car á in a right handed bend.  The other driver was on his own side of á the road and I had to skid out of it to avoid a collision.  It á was dark.,fear,3,male,34
267,My car had been towed away by the traffic police because it had á been wrongly parked.  However the sign had been put up only after á I had already parked.,anger,4,male,34
268,After an operation I had to stay in bed for a long time.,sadness,3,male,34
269,I was forced to stay in the canteen and eat the food that I had á not asked for but got it anyway.,disgust,4,male,34
270,When I did not buy what I had promised to.,shame,2,male,34
271,By mistake I took a book from the library which was not supposed á to be loaned out.,guilt,3,male,34
272,When I won an unexpected sum of money.,joy,2,female,32
273,My 2 year old daughter disappeared in a moment of inattention; I á was responsible for her.,fear,4,female,32
274,A colleague asked me for some advice and as he did not have á enough confidence in me he asked a third person.,anger,3,female,32
275,"I wanted to be pregnant and did not succeed, so I was depressed    á at every menstruation.",sadness,4,female,32
276,"In a warm bus full of people, someone vomited and the whole bus á stank.",disgust,4,female,32
277,"I complained about a colleague's behaviour as she goes back on á her word, is often absent and is irresponsible.  I found out that á she was an alcoholic and was trying to fight againt her á addiction.",shame,4,female,32
278,I spoke to my mother on the phone.  She had skin cancer and was á waiting to be operated.  I forgot to ask her the date of the á operation and just before finishing our conversation she gave me á the date in passing. ,guilt,4,female,32
279,When I was at a party I met an old friend from an adult á education course.  We had not met for 2 years but had both thought á a lot about each other.  A wonderful experience.á ,joy,4,female,25
280,"When I was cycling through the park late one night, two people á jumped out of the woods and tried to stop me.  There were á shouting something at the same time.",fear,4,female,25
281,When close relatives tried to dissuade me from studying á Psychology because of its low status.,anger,4,female,25
282,I had a long discussion on politics with an acquaintance.  He á was more knowledgeable than me and I failed to explain my point á of view and was misunderstood so I felt depressed and left.,sadness,4,female,25
283,When I read a newspaper article on a young girl who had been á raped and assaulted one night by several men when she was unconscious.,disgust,4,female,25
284,My mother revealed personal details about me and the á negative aspects of my character to other people when I was á present but unable to defend myself.,shame,4,female,25
285,I was unfaithful to my partner once when he was working abroad á for a long period.,guilt,4,female,25
286,When I recently got an appartment in central Gottenburg.,joy,2,female,20
287,When I saw a large spider crawling up the wall.,fear,2,female,20
288,My employer took too many aspirins for a bad back and also drank á an enormous amount of spirit.  This was dangerous  and he did á not understand that he had done anything wrong.,anger,3,female,20
289,"When I left New York, and all my family and my friends behind me.",sadness,4,female,20
290,When I slept with a guy because my best friend wanted me to.  á He had never had intercourse with anyone and had a terrible á complex about it.,disgust,3,female,20
291,When I dated a close girlfriend's boyfriend a few times. He told á me that it was over between them and I accepted it.  When she á found out she finished our friendship.,shame,3,female,20
292,"When I broke off with my boyfriend after three years.  It was á quite unexpected for him and there was no particular reason for á the break up, such as someone else.",guilt,2,female,20
293,When my son returned from mountaineering - healthy in body and á soul.,joy,4,female,25
294,When one meets new people with whom one is forced to collaborate á with.,fear,4,female,25
295,The sports fishermen who catch gulls instead of fish with their hooks. á   It is often a mistake but it makes me angry.,anger,2,female,25
296,I feel sad about an event I can not influence.,sadness,2,female,25
297,"When a member of the family complains about the food that is á served, it disgusts me.",disgust,1,female,25
298,[ Cannot recall any incident when I felt shame.],shame,0,female,25
299,I have chosen to put my son in a private school were the á examination marks are low.  Every time that he gives me his term á results I am left with a sense of guilt.,guilt,3,female,25
300,When I was informed that I had been accepted as a student of á Psychology.,joy,2,female,27
301,When I was in a little fishing boat and we ran into hard weather á in the open sea.,fear,3,female,27
302,When I found out that the guy I was dating at a particular time á had a steady relationship going on with someone else for a long á time.,anger,4,female,27
303,I felt sad and depressed when I heard that our cat had died.,sadness,4,female,27
304,"When I was working as a nurse in a mental hospital, a patient ate á up the contents of another patient's spitoon.",disgust,3,female,27
305,"At primary school, when I vomited in front of others in the middle  á of a lesson.",shame,3,female,27
306,I arrived an hour late for an important meeting ( I had á misunderstood the time).,guilt,2,female,27
307,When I was acceptted as a student of psychology.,joy,3,female,31
308,When my son has a pain in his leg (for no apparent reason).  ,fear,4,female,31
